is_collector,nodeid,name,description,istopnode,ontologyclass,datatype,nodegroup_id,graph_id,config,issearchable,isrequired,sortorder,fieldname,exportable,alias,hascustomalias,parentproperty,id,elem_name,elem_type,ontologyproperty,card_sortorder,parent_id,child_id,visible,edgeid,card_label,instructions,helptitle,helptext,order,path,ns_path
False,099f196c-df80-11ed-9232-00163e71351b,Bibliographical Item,,True,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,semantic,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,bibliographical_item,False,RDF,099f196c-df80-11ed-9232-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,class,RDF,-1.0,root,099f196c-df80-11ed-9232-00163e71351b,True,,,,,,1,"['root', '099f196c-df80-11ed-9232-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,6926ef62-ed8d-4121-ba84-2750849069fe,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,property,,0.0,099f196c-df80-11ed-9232-00163e71351b,6926ef62-ed8d-4121-ba84-2750849069fe,True,6926ef62-ed8d-4121-ba84-2750849069fe,,,,,2,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by']"
True,35eb661e-ee5e-11ed-a1e6-00163e71351b,Annotation,,False,http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object,semantic,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,annotation,False,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,35eb661e-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object,class,,,6926ef62-ed8d-4121-ba84-2750849069fe,35eb661e-ee5e-11ed-a1e6-00163e71351b,True,6926ef62-ed8d-4121-ba84-2750849069fe,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},3,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,property,,0.0,35eb661e-ee5e-11ed-a1e6-00163e71351b,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,True,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,,,,,4,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type']"
False,35eb6d76-ee5e-11ed-a1e6-00163e71351b,Annotation Type,,False,http://www.cidoc-crm.org/cidoc-crm/E55_Type,resource-instance,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,"{'graphs': [{'name': 'Concept', 'graphid': '74c87bc1-8a29-437a-88cc-3f49837dfc4e'}], 'searchDsl': '', 'searchString': ''}",True,False,0,,False,annotation_type,False,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,35eb6d76-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E55_Type,class,,,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,35eb6d76-ee5e-11ed-a1e6-00163e71351b,True,35ebbfc4-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},5,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b', '35eb6d76-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type', 'crm:E55_Type']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc92e-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2000/01/rdf-schema#label,property,,0.0,35eb6d76-ee5e-11ed-a1e6-00163e71351b,35ebc92e-ee5e-11ed-a1e6-00163e71351b,True,35ebc92e-ee5e-11ed-a1e6-00163e71351b,,,,,6,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b', '35eb6d76-ee5e-11ed-a1e6-00163e71351b', '35ebc92e-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type', 'crm:E55_Type', 'rdfs:label']"
False,35eb7578-ee5e-11ed-a1e6-00163e71351b,Annotation Type Label,,False,http://www.w3.org/2001/XMLSchema#string,string,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,annotation_type_label,False,http://www.w3.org/2000/01/rdf-schema#label,35eb7578-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2001/XMLSchema#string,class,,,35ebc92e-ee5e-11ed-a1e6-00163e71351b,35eb7578-ee5e-11ed-a1e6-00163e71351b,True,35ebc92e-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},7,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebbfc4-ee5e-11ed-a1e6-00163e71351b', '35eb6d76-ee5e-11ed-a1e6-00163e71351b', '35ebc92e-ee5e-11ed-a1e6-00163e71351b', '35eb7578-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P2_has_type', 'crm:E55_Type', 'rdfs:label', 'xsd:string']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P72_has_language,property,,0.0,35eb661e-ee5e-11ed-a1e6-00163e71351b,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,True,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,,,,,8,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language']"
False,35eb6fce-ee5e-11ed-a1e6-00163e71351b,Annotation Language,,False,http://www.cidoc-crm.org/cidoc-crm/E56_Language,resource-instance,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,"{'graphs': [{'name': 'Concept', 'graphid': '74c87bc1-8a29-437a-88cc-3f49837dfc4e'}], 'searchDsl': '', 'searchString': '', 'rdmCollection': None}",True,False,0,,False,annotation_language,False,http://www.cidoc-crm.org/cidoc-crm/P72_has_language,35eb6fce-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E56_Language,class,,,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,35eb6fce-ee5e-11ed-a1e6-00163e71351b,True,35ebc2c6-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},9,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b', '35eb6fce-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language', 'crm:E56_Language']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc71c-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2000/01/rdf-schema#label,property,,0.0,35eb6fce-ee5e-11ed-a1e6-00163e71351b,35ebc71c-ee5e-11ed-a1e6-00163e71351b,True,35ebc71c-ee5e-11ed-a1e6-00163e71351b,,,,,10,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b', '35eb6fce-ee5e-11ed-a1e6-00163e71351b', '35ebc71c-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language', 'crm:E56_Language', 'rdfs:label']"
False,35eb73ac-ee5e-11ed-a1e6-00163e71351b,Annotation Language Label,,False,http://www.w3.org/2001/XMLSchema#string,string,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,annotation_language_label,False,http://www.w3.org/2000/01/rdf-schema#label,35eb73ac-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2001/XMLSchema#string,class,,,35ebc71c-ee5e-11ed-a1e6-00163e71351b,35eb73ac-ee5e-11ed-a1e6-00163e71351b,True,35ebc71c-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},11,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc2c6-ee5e-11ed-a1e6-00163e71351b', '35eb6fce-ee5e-11ed-a1e6-00163e71351b', '35ebc71c-ee5e-11ed-a1e6-00163e71351b', '35eb73ac-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P72_has_language', 'crm:E56_Language', 'rdfs:label', 'xsd:string']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,35ebc500-ee5e-11ed-a1e6-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P190_has_symbolic_content,property,,0.0,35eb661e-ee5e-11ed-a1e6-00163e71351b,35ebc500-ee5e-11ed-a1e6-00163e71351b,True,35ebc500-ee5e-11ed-a1e6-00163e71351b,,,,,12,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc500-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P190_has_symbolic_content']"
False,35eb71cc-ee5e-11ed-a1e6-00163e71351b,Annotation Content,,False,http://www.w3.org/2000/01/rdf-schema#Literal,string,35eb661e-ee5e-11ed-a1e6-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,annotation_content,False,http://www.cidoc-crm.org/cidoc-crm/P190_has_symbolic_content,35eb71cc-ee5e-11ed-a1e6-00163e71351b,http://www.w3.org/2000/01/rdf-schema#Literal,class,,,35ebc500-ee5e-11ed-a1e6-00163e71351b,35eb71cc-ee5e-11ed-a1e6-00163e71351b,True,35ebc500-ee5e-11ed-a1e6-00163e71351b,{'en': 'Annotatie'},{'en': ''},{'en': ''},{'en': ''},13,"['root', '099f196c-df80-11ed-9232-00163e71351b', '6926ef62-ed8d-4121-ba84-2750849069fe', '35eb661e-ee5e-11ed-a1e6-00163e71351b', '35ebc500-ee5e-11ed-a1e6-00163e71351b', '35eb71cc-ee5e-11ed-a1e6-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P67i_is_referred_to_by', 'crm:E33_Linguistic_Object', 'crm:P190_has_symbolic_content', 'rdfs:Literal']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,87bcd856-fdd0-43b2-8d40-dced7b5a7a50,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,property,,0.0,099f196c-df80-11ed-9232-00163e71351b,87bcd856-fdd0-43b2-8d40-dced7b5a7a50,True,87bcd856-fdd0-43b2-8d40-dced7b5a7a50,,,,,14,"['root', '099f196c-df80-11ed-9232-00163e71351b', '87bcd856-fdd0-43b2-8d40-dced7b5a7a50']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P3_has_note']"
True,3725e56e-df80-11ed-9655-00163e71351b,Note,,False,http://www.w3.org/2000/01/rdf-schema#Literal,string,3725e56e-df80-11ed-9655-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'rdmCollection': None},True,False,0,,False,note,False,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,3725e56e-df80-11ed-9655-00163e71351b,http://www.w3.org/2000/01/rdf-schema#Literal,class,,4.0,87bcd856-fdd0-43b2-8d40-dced7b5a7a50,3725e56e-df80-11ed-9655-00163e71351b,True,87bcd856-fdd0-43b2-8d40-dced7b5a7a50,{'en': 'Opmerking'},{'en': ''},{'en': ''},{'en': ''},15,"['root', '099f196c-df80-11ed-9232-00163e71351b', '87bcd856-fdd0-43b2-8d40-dced7b5a7a50', '3725e56e-df80-11ed-9655-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P3_has_note', 'rdfs:Literal']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d,http://www.cidoc-crm.org/cidoc-crm/P55_has_current_location,property,,0.0,099f196c-df80-11ed-9232-00163e71351b,27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d,True,27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d,,,,,16,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location']"
True,3d7e5e70-ed7f-11ed-9064-00163e71351b,Current Location,,False,http://www.cidoc-crm.org/cidoc-crm/E53_Place,semantic,3d7e5e70-ed7f-11ed-9064-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,"{'graphs': [], 'searchDsl': '', 'searchString': ''}",True,False,0,,False,current_location,False,http://www.cidoc-crm.org/cidoc-crm/P55_has_current_location,3d7e5e70-ed7f-11ed-9064-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E53_Place,class,,5.0,27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d,3d7e5e70-ed7f-11ed-9064-00163e71351b,True,27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d,{'en': 'Huidige standplaats'},{'en': ''},{'en': ''},{'en': ''},17,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d', '3d7e5e70-ed7f-11ed-9064-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location', 'crm:E53_Place']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,3d7e9020-ed7f-11ed-9064-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,property,,0.0,3d7e5e70-ed7f-11ed-9064-00163e71351b,3d7e9020-ed7f-11ed-9064-00163e71351b,True,3d7e9020-ed7f-11ed-9064-00163e71351b,,,,,18,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d', '3d7e5e70-ed7f-11ed-9064-00163e71351b', '3d7e9020-ed7f-11ed-9064-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location', 'crm:E53_Place', 'crm:P3_has_note']"
False,3d7e632a-ed7f-11ed-9064-00163e71351b,Current Location Note,,False,http://www.w3.org/2000/01/rdf-schema#Literal,string,3d7e5e70-ed7f-11ed-9064-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,{'en': ''},True,False,0,,False,current_location_note,False,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,3d7e632a-ed7f-11ed-9064-00163e71351b,http://www.w3.org/2000/01/rdf-schema#Literal,class,,5.0,3d7e9020-ed7f-11ed-9064-00163e71351b,3d7e632a-ed7f-11ed-9064-00163e71351b,True,3d7e9020-ed7f-11ed-9064-00163e71351b,{'en': 'Huidige standplaats'},{'en': ''},{'en': ''},{'en': ''},19,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d', '3d7e5e70-ed7f-11ed-9064-00163e71351b', '3d7e9020-ed7f-11ed-9064-00163e71351b', '3d7e632a-ed7f-11ed-9064-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location', 'crm:E53_Place', 'crm:P3_has_note', 'rdfs:Literal']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,3d7e8cce-ed7f-11ed-9064-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/P74i_is_current_or_former_residence_of,property,,0.0,3d7e5e70-ed7f-11ed-9064-00163e71351b,3d7e8cce-ed7f-11ed-9064-00163e71351b,True,3d7e8cce-ed7f-11ed-9064-00163e71351b,,,,,20,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d', '3d7e5e70-ed7f-11ed-9064-00163e71351b', '3d7e8cce-ed7f-11ed-9064-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location', 'crm:E53_Place', 'crm:P74i_is_current_or_former_residence_of']"
False,3d7e64ce-ed7f-11ed-9064-00163e71351b,Current Location Resident,What does this actually say?,False,http://www.cidoc-crm.org/cidoc-crm/E39_Actor,resource-instance,3d7e5e70-ed7f-11ed-9064-00163e71351b,daaa7b3c-0472-489b-a4b2-b7ba5854345c,"{'graphs': [{'name': 'Group', 'graphid': 'e53e0b75-d18e-46ce-8c50-865491d68d9c'}], 'searchDsl': '', 'searchString': ''}",True,False,0,,False,current_location_resident,False,http://www.cidoc-crm.org/cidoc-crm/P74i_is_current_or_former_residence_of,3d7e64ce-ed7f-11ed-9064-00163e71351b,http://www.cidoc-crm.org/cidoc-crm/E39_Actor,class,,5.0,3d7e8cce-ed7f-11ed-9064-00163e71351b,3d7e64ce-ed7f-11ed-9064-00163e71351b,True,3d7e8cce-ed7f-11ed-9064-00163e71351b,{'en': 'Huidige standplaats'},{'en': ''},{'en': ''},{'en': ''},21,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d', '3d7e5e70-ed7f-11ed-9064-00163e71351b', '3d7e8cce-ed7f-11ed-9064-00163e71351b', '3d7e64ce-ed7f-11ed-9064-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location', 'crm:E53_Place', 'crm:P74i_is_current_or_former_residence_of', 'crm:E39_Actor']"
False,,,,False,,property,,daaa7b3c-0472-489b-a4b2-b7ba5854345c,,,True,,,,,,,3d7e8eae-ed7f-11ed-9064-00163e71351b,http://www.w3.org/2000/01/rdf-schema#label,property,,0.0,3d7e64ce-ed7f-11ed-9064-00163e71351b,3d7e8eae-ed7f-11ed-9064-00163e71351b,True,3d7e8eae-ed7f-11ed-9064-00163e71351b,,,,,22,"['root', '099f196c-df80-11ed-9232-00163e71351b', '27d5bb7e-c8e8-47e2-aa85-576dc7fe2c0d', '3d7e5e70-ed7f-11ed-9064-00163e71351b', '3d7e8cce-ed7f-11ed-9064-00163e71351b', '3d7e64ce-ed7f-11ed-9064-00163e71351b', '3d7e8eae-ed7f-11ed-9064-00163e71351b']","['RDF', 'crm:E22_Human-Made_Object', 'crm:P55_has_current_location', 'crm:E53_Place', 'crm:P74i_is_current_or_former_residence_of', 'crm:E39_Actor', 'rdfs:label']"
