concept,label,comment,identifier,inscheme,no_priref,no_occ,code
https://data.antwerp.be/id/term/adlib-people/gender/unknown,niet gekend,, ,https://data.antwerp.be/id/term/adlib-people/gender,8,8,unknown
https://data.antwerp.be/id/term/adlib-collect/association-person-type/person,persoon,,http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-collect/association-person-type,2313,2621,person
https://data.antwerp.be/id/term/adlib-thesau/term-type/mater,materiaal,,http://vocab.getty.edu/aat/300010358,https://data.antwerp.be/id/term/adlib-thesau/term-type,739,739,mater
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/person,persoon,,http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-collect/content-person-name-type,614,784,person
https://data.antwerp.be/id/term/adlib-people/name-type/person,persoon,,http://vocab.getty.edu/aat/300024979,https://data.antwerp.be/id/term/adlib-people/name-type,26458,26458,person
https://data.antwerp.be/id/term/adlib-people/name-type/illus,illustrator,,http://vocab.getty.edu/aat/300025123,https://data.antwerp.be/id/term/adlib-people/name-type,4,4,illus
https://data.antwerp.be/id/term/adlib-people/name-type/auctioneer,veilingmeester,,http://vocab.getty.edu/aat/300025208,https://data.antwerp.be/id/term/adlib-people/name-type,88,88,auctioneer
https://data.antwerp.be/id/term/adlib-people/name-type/donor,donor,,http://vocab.getty.edu/aat/300025240,https://data.antwerp.be/id/term/adlib-people/name-type,177,177,donor
https://data.antwerp.be/id/term/adlib-people/name-type/supplier,leverancier,,http://vocab.getty.edu/aat/300025252,https://data.antwerp.be/id/term/adlib-people/name-type,1,1,supplier
https://data.antwerp.be/id/term/adlib-people/name-type/author,auteur,,http://vocab.getty.edu/aat/300025492,https://data.antwerp.be/id/term/adlib-people/name-type,317,317,author
https://data.antwerp.be/id/term/adlib-people/name-type/publ,uitgever,,http://vocab.getty.edu/aat/300025574,https://data.antwerp.be/id/term/adlib-people/name-type,131,131,publ
https://data.antwerp.be/id/term/adlib-people/name-type/curator,curator,,http://vocab.getty.edu/aat/300025633,https://data.antwerp.be/id/term/adlib-people/name-type,149,149,curator
https://data.antwerp.be/id/term/adlib-people/name-type/printer,drukker,,http://vocab.getty.edu/aat/300025732,https://data.antwerp.be/id/term/adlib-people/name-type,141,141,printer
https://data.antwerp.be/id/term/adlib-people/name-type/valuer,taxateur,,http://vocab.getty.edu/aat/300025829,https://data.antwerp.be/id/term/adlib-people/name-type,115,115,valuer
https://data.antwerp.be/id/term/adlib-people/name-type/shipper,transporteur,,http://vocab.getty.edu/aat/300025875,https://data.antwerp.be/id/term/adlib-people/name-type,3,3,shipper
https://data.antwerp.be/id/term/adlib-people/name-type/collect,collectioneur,,http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-people/name-type,42,42,collect
https://data.antwerp.be/id/term/adlib-thesau/term-type/coll,collectie,,http://vocab.getty.edu/aat/300025976,https://data.antwerp.be/id/term/adlib-thesau/term-type,321,321,coll
https://data.antwerp.be/id/term/adlib-collect/association-person-type/inst,instelling,,http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-collect/association-person-type,398,444,inst
https://data.antwerp.be/id/term/adlib-collect/content-person-name-type/inst,instelling,,http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-collect/content-person-name-type,2,2,inst
https://data.antwerp.be/id/term/adlib-people/name-type/inst,instelling,,http://vocab.getty.edu/aat/300026004,https://data.antwerp.be/id/term/adlib-people/name-type,5668,5669,inst
https://data.antwerp.be/id/term/adlib-thesau/term-type/research,onderzoek/gebruik methode,,http://vocab.getty.edu/aat/300054687,https://data.antwerp.be/id/term/adlib-thesau/term-type,1,1,research
https://data.antwerp.be/id/term/adlib-thesau/term-type/transport,transport,,http://vocab.getty.edu/aat/300055244,https://data.antwerp.be/id/term/adlib-thesau/term-type,2,2,transport
https://data.antwerp.be/id/term/adlib-collect/association-person-type/family,familie,,http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/adlib-collect/association-person-type,2,2,family
https://data.antwerp.be/id/term/adlib-people/name-type/family,familie,,http://vocab.getty.edu/aat/300055474,https://data.antwerp.be/id/term/adlib-people/name-type,11,11,family
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/culture,cultuur,,http://vocab.getty.edu/aat/300055768,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,3,3,culture
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/event,gebeurtenis,,http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,1055,1055,event
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/event,gebeurtenis,,http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,1,1,event
https://data.antwerp.be/id/term/adlib-thesau/term-type/event,gebeurtenis,,http://vocab.getty.edu/aat/300069084,https://data.antwerp.be/id/term/adlib-thesau/term-type,12,12,event
https://data.antwerp.be/id/term/adlib-thesau/term-type/period,periode,,http://vocab.getty.edu/aat/300081446,https://data.antwerp.be/id/term/adlib-thesau/term-type,318,318,period
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/plant,plant,,http://vocab.getty.edu/aat/300132360,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,10,10,plant
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/plant,plant,,http://vocab.getty.edu/aat/300132360,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,2,2,plant
https://data.antwerp.be/id/term/adlib-thesau/term-type/techn,techniek,,http://vocab.getty.edu/aat/300138082,https://data.antwerp.be/id/term/adlib-thesau/term-type,276,276,techn
https://data.antwerp.be/id/term/adlib-people/gender/female,vrouw,,http://vocab.getty.edu/aat/300189557,https://data.antwerp.be/id/term/adlib-people/gender,1698,1698,female
https://data.antwerp.be/id/term/adlib-people/gender/male,man,,http://vocab.getty.edu/aat/300189559,https://data.antwerp.be/id/term/adlib-people/gender,10691,10691,male
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/people,volk,,http://vocab.getty.edu/aat/300192630,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,4,4,people
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/people,volk,,http://vocab.getty.edu/aat/300192630,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,28,30,people
https://data.antwerp.be/id/term/adlib-thesau/term-type/people,volk,,http://vocab.getty.edu/aat/300192630,https://data.antwerp.be/id/term/adlib-thesau/term-type,65,65,people
https://data.antwerp.be/id/term/adlib-thesau/term-type/place,plaats,,http://vocab.getty.edu/aat/300248475,https://data.antwerp.be/id/term/adlib-thesau/term-type,2051,2051,place
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/geokeyw,geografisch trefwoord,,http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,6716,7256,geokeyw
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/geokeyw,geografisch trefwoord,,http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,6863,6864,geokeyw
https://data.antwerp.be/id/term/adlib-location/package-location/location,plaats,,http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-location/package-location,94371,94371,location
https://data.antwerp.be/id/term/adlib-thesau/term-type/geokeyw,geografisch trefwoord,,http://vocab.getty.edu/aat/300248479,https://data.antwerp.be/id/term/adlib-thesau/term-type,4515,4515,geokeyw
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/animal,dier,,http://vocab.getty.edu/aat/300249525,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,1,1,animal
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/animal,dier,,http://vocab.getty.edu/aat/300249525,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,128,133,animal
https://data.antwerp.be/id/term/adlib-thesau/term-type/animal,dier,,http://vocab.getty.edu/aat/300249525,https://data.antwerp.be/id/term/adlib-thesau/term-type,44,44,animal
https://data.antwerp.be/id/term/adlib-people/name-type/maker,vervaardiger,,http://vocab.getty.edu/aat/300251917,https://data.antwerp.be/id/term/adlib-people/name-type,22231,22231,maker
https://data.antwerp.be/id/term/adlib-thesau/term-type/dim,afmeting,,http://vocab.getty.edu/aat/300266036,https://data.antwerp.be/id/term/adlib-thesau/term-type,30,30,dim
https://data.antwerp.be/id/term/adlib-location/location-type/opstel,permanente opstelling,,http://vocab.getty.edu/aat/300311710,https://data.antwerp.be/id/term/adlib-location/location-type,233,233,opstel
https://data.antwerp.be/id/term/adlib-thesau/term-type/keyword,trefwoord,,http://vocab.getty.edu/aat/300311841,https://data.antwerp.be/id/term/adlib-thesau/term-type,2560,2560,keyword
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/object,objectnaam,,http://vocab.getty.edu/aat/300311889,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,57,71,object
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/object,objectnaam,,http://vocab.getty.edu/aat/300311889,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,41,47,object
https://data.antwerp.be/id/term/adlib-thesau/term-type/object,objectnaam,,http://vocab.getty.edu/aat/300311889,https://data.antwerp.be/id/term/adlib-thesau/term-type,4076,4076,object
https://data.antwerp.be/id/term/adlib-location/location-type/depot,depot,,http://vocab.getty.edu/aat/300312279,https://data.antwerp.be/id/term/adlib-location/location-type,61523,61525,depot
https://data.antwerp.be/id/term/adlib-thesau/term-type/nationality,nationaliteit,,http://vocab.getty.edu/aat/300379842,https://data.antwerp.be/id/term/adlib-thesau/term-type,55,55,nationality
https://data.antwerp.be/id/term/adlib-thesau/term-type/language,taal,,http://vocab.getty.edu/aat/300386046,https://data.antwerp.be/id/term/adlib-thesau/term-type,25,25,language
https://data.antwerp.be/id/term/adlib-thesau/term-type/guide,gidsterm,,http://vocab.getty.edu/aat/300386700,https://data.antwerp.be/id/term/adlib-thesau/term-type,1030,1030,guide
https://data.antwerp.be/id/term/adlib-thesau/term-type/country,land,,http://vocab.getty.edu/aat/300387506,https://data.antwerp.be/id/term/adlib-thesau/term-type,135,135,country
https://data.antwerp.be/id/term/adlib-thesau/term-type/cond,toestand,,http://vocab.getty.edu/aat/300389724,https://data.antwerp.be/id/term/adlib-thesau/term-type,4,4,cond
https://data.antwerp.be/id/term/adlib-thesau/term-type/occupation,beroep,,http://vocab.getty.edu/aat/300393201,https://data.antwerp.be/id/term/adlib-thesau/term-type,49,49,occupation
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/activ,activiteit,,http://vocab.getty.edu/aat/300404112,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,65,100,activ
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/activ,activiteit,,http://vocab.getty.edu/aat/300404112,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,1,1,activ
https://data.antwerp.be/id/term/adlib-thesau/term-type/activ,activiteit,,http://vocab.getty.edu/aat/300404112,https://data.antwerp.be/id/term/adlib-thesau/term-type,4,4,activ
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/subject,onderwerp,,http://vocab.getty.edu/aat/300404126,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,29,31,subject
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/subject,onderwerp,,http://vocab.getty.edu/aat/300404126,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,301,311,subject
https://data.antwerp.be/id/term/adlib-thesau/term-type/subject,onderwerp,,http://vocab.getty.edu/aat/300404126,https://data.antwerp.be/id/term/adlib-thesau/term-type,9081,9081,subject
https://data.antwerp.be/id/term/adlib-thesau/term-type/school,school/stijl,,http://vocab.getty.edu/aat/300404284,https://data.antwerp.be/id/term/adlib-thesau/term-type,183,183,school
https://data.antwerp.be/id/term/adlib-location/package-location/package,verpakking,,http://vocab.getty.edu/aat/300404445,https://data.antwerp.be/id/term/adlib-location/package-location,9880,9880,package
https://data.antwerp.be/id/term/adlib-thesau/term-type/acqmeth,verwervinsgmethode,,http://vocab.getty.edu/aat/300417634,https://data.antwerp.be/id/term/adlib-thesau/term-type,20,20,acqmeth
https://data.antwerp.be/id/term/adlib-people/name-type/prodcomp,fabrikant,,http://vocab.getty.edu/aat/300419391,https://data.antwerp.be/id/term/adlib-people/name-type,6,6,prodcomp
https://data.antwerp.be/id/term/adlib-thesau/term-type/role,rol,,http://vocab.getty.edu/aat/300435108,https://data.antwerp.be/id/term/adlib-thesau/term-type,175,175,role
https://data.antwerp.be/id/term/adlib-people/name-type/corporate,bedrijf,,http://vocab.getty.edu/aat/300445020,https://data.antwerp.be/id/term/adlib-people/name-type,1,1,corporate
https://data.antwerp.be/id/term/adlib-thesau/term-type/assoc,associatie,,http://vocab.getty.edu/aat/300452097,https://data.antwerp.be/id/term/adlib-thesau/term-type,61,61,assoc
https://data.antwerp.be/id/term/adlib-thesau/term-type/aspect,aspect,,https://www.wikidata.org/wiki/Q21040055,https://data.antwerp.be/id/term/adlib-thesau/term-type,5,5,aspect
https://data.antwerp.be/id/term/adlib-collect/association-subject-type/concept,concept,,https://www.wikidata.org/wiki/Q151885,https://data.antwerp.be/id/term/adlib-collect/association-subject-type,111,111,concept
https://data.antwerp.be/id/term/adlib-collect/content-subject-type/concept,concept,,https://www.wikidata.org/wiki/Q151885,https://data.antwerp.be/id/term/adlib-collect/content-subject-type,1820,1829,concept
https://data.antwerp.be/id/term/adlib-thesau/term-type/concept,concept,,https://www.wikidata.org/wiki/Q151885,https://data.antwerp.be/id/term/adlib-thesau/term-type,12,12,concept
https://data.antwerp.be/id/term/adlib-thesau/term-type/unit,eenheid,,https://www.wikidata.org/wiki/Q147574,https://data.antwerp.be/id/term/adlib-thesau/term-type,14,14,unit
https://data.antwerp.be/id/term/adlib-location/location-type/benb,behoud en beheer,,,https://data.antwerp.be/id/term/adlib-location/location-type,74,74,benb
https://data.antwerp.be/id/term/adlib-location/location-type/collectiepaviljoen,collectiepaviljoen,,,https://data.antwerp.be/id/term/adlib-location/location-type,1,1,collectiepaviljoen
https://data.antwerp.be/id/term/adlib-location/location-type/ex-situ,ex situ,,,https://data.antwerp.be/id/term/adlib-location/location-type,27,28,ex-situ
https://data.antwerp.be/id/term/adlib-location/location-type/extern,extern,,,https://data.antwerp.be/id/term/adlib-location/location-type,99,99,extern
https://data.antwerp.be/id/term/adlib-location/location-type/kunstpark,kunstpark,,,https://data.antwerp.be/id/term/adlib-location/location-type,67,67,kunstpark
https://data.antwerp.be/id/term/adlib-location/location-type/loanl,langdurige bruikleen,,,https://data.antwerp.be/id/term/adlib-location/location-type,25,25,loanl
https://data.antwerp.be/id/term/adlib-location/location-type/loant,tijdelijke bruikleen,,,https://data.antwerp.be/id/term/adlib-location/location-type,77,77,loant
https://data.antwerp.be/id/term/adlib-location/location-type/onbek,onbekend,,,https://data.antwerp.be/id/term/adlib-location/location-type,1,1,onbek
https://data.antwerp.be/id/term/adlib-location/location-type/opstelt,tijdelijke opstelling,,,https://data.antwerp.be/id/term/adlib-location/location-type,105,105,opstelt
https://data.antwerp.be/id/term/adlib-location/location-type/publnot,niet-publieke ruimte,,,https://data.antwerp.be/id/term/adlib-location/location-type,1019,1019,publnot
https://data.antwerp.be/id/term/adlib-location/location-type/transit,transit,,,https://data.antwerp.be/id/term/adlib-location/location-type,18,18,transit
https://data.antwerp.be/id/term/adlib-people/name-status/0,niet gedefinieerd,,,https://data.antwerp.be/id/term/adlib-people/name-status,2,2,0
https://data.antwerp.be/id/term/adlib-people/name-status/1,goedgekeurd,,,https://data.antwerp.be/id/term/adlib-people/name-status,30840,30840,1
https://data.antwerp.be/id/term/adlib-people/name-status/3,kandidaat,,,https://data.antwerp.be/id/term/adlib-people/name-status,4,4,3
https://data.antwerp.be/id/term/adlib-people/name-status/7,goedgekeurd, geen URI,,,https://data.antwerp.be/id/term/adlib-people/name-status,263,263,7
https://data.antwerp.be/id/term/adlib-people/name-status/8,niet-voorkeursterm,,,https://data.antwerp.be/id/term/adlib-people/name-status,1010,1010,8
https://data.antwerp.be/id/term/adlib-people/name-type/acquisitionsource,verwervingsbron,,,https://data.antwerp.be/id/term/adlib-people/name-type,6969,6969,acquisitionsource
https://data.antwerp.be/id/term/adlib-people/name-type/perskeyw,personlijk trefwoord,,,https://data.antwerp.be/id/term/adlib-people/name-type,4,4,perskeyw
https://data.antwerp.be/id/term/adlib-thesau/term-status/0,niet gedefinieerd,,,https://data.antwerp.be/id/term/adlib-thesau/term-status,1,1,0
https://data.antwerp.be/id/term/adlib-thesau/term-status/1,voorkeursterm,,,https://data.antwerp.be/id/term/adlib-thesau/term-status,13929,13929,1
https://data.antwerp.be/id/term/adlib-thesau/term-status/2,niet-voorkeursterm,,,https://data.antwerp.be/id/term/adlib-thesau/term-status,3490,3490,2
https://data.antwerp.be/id/term/adlib-thesau/term-status/3,kandidaat,,,https://data.antwerp.be/id/term/adlib-thesau/term-status,12280,12280,3
https://data.antwerp.be/id/term/adlib-thesau/term-status/5,verworpen,,,https://data.antwerp.be/id/term/adlib-thesau/term-status,29,29,5
https://data.antwerp.be/id/term/adlib-thesau/term-type/dispmeth,afstotingsmethode,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,3,3,dispmeth
https://data.antwerp.be/id/term/adlib-thesau/term-type/doctype,type document,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,7,7,doctype
https://data.antwerp.be/id/term/adlib-thesau/term-type/insctype,soort opschrift,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,56,56,insctype
https://data.antwerp.be/id/term/adlib-thesau/term-type/loss,verlies/schade methode,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,6,6,loss
https://data.antwerp.be/id/term/adlib-thesau/term-type/motif,motief,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,54,54,motif
https://data.antwerp.be/id/term/adlib-thesau/term-type/movement,verplaatsing methode,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,2,2,movement
https://data.antwerp.be/id/term/adlib-thesau/term-type/namtype,type objectnaam,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,20,20,namtype
https://data.antwerp.be/id/term/adlib-thesau/term-type/objcat,objectcategorie,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,65,65,objcat
https://data.antwerp.be/id/term/adlib-thesau/term-type/preservationform,bewaarvorm,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,40,40,preservationform
https://data.antwerp.be/id/term/adlib-thesau/term-type/propname,eigennaam,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,7299,7299,propname
https://data.antwerp.be/id/term/adlib-thesau/term-type/repro-type,soort reproductie,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,10,10,repro-type
https://data.antwerp.be/id/term/adlib-thesau/term-type/research-result,onderzoek/gebruik resultaat,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,4,4,research-result
https://data.antwerp.be/id/term/adlib-thesau/term-type/script,schrift,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,2,2,script
https://data.antwerp.be/id/term/adlib-thesau/term-type/topterm,topterm,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,10,10,topterm
https://data.antwerp.be/id/term/adlib-thesau/term-type/treat,behandeling,,,https://data.antwerp.be/id/term/adlib-thesau/term-type,27,27,treat