concept,label,comment,identifier,inscheme,code
https://data.antwerp.be/id/term/aspace-thesau/term-type/topical,Topisch,,,https://data.antwerp.be/id/term/aspace-thesau/term-type,topical
https://data.antwerp.be/id/term/aspace-thesau/term-type/topicalgeographic,Geografisch,,,https://data.antwerp.be/id/term/aspace-thesau/term-type,topicalgeographic
https://data.antwerp.be/id/term/aspace-thesau/term-type/function,Functie,,,https://data.antwerp.be/id/term/aspace-thesau/term-type,function
https://data.antwerp.be/id/term/aspace-agents/identifier-type/mpm,Museum Plantin-Moretus,,,https://data.antwerp.be/id/term/aspace-agents/identifier-type,mpm
https://data.antwerp.be/id/term/aspace-agents/identifier-type/lh,Letterenhuis,,,https://data.antwerp.be/id/term/aspace-agents/identifier-type,lh
https://data.antwerp.be/id/term/aspace-agents/identifier-type/rub,Rubenshuis,,,https://data.antwerp.be/id/term/aspace-agents/identifier-type,rub
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-person,Persoon,,,https://data.antwerp.be/id/term/aspace-agents/agent-type,agent-person
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-family,Familie,,,https://data.antwerp.be/id/term/aspace-agents/agent-type,agent-family
https://data.antwerp.be/id/term/aspace-agents/agent-type/agent-corporate-entity,Corporatieve entiteit,,,https://data.antwerp.be/id/term/aspace-agents/agent-type,agent-corporate-entity
https://data.antwerp.be/id/term/aspace-collect/level/subseries,Subseries,,,https://data.antwerp.be/id/term/aspace-collect/level,subseries
https://data.antwerp.be/id/term/aspace-collect/level/fonds,Fonds,,,https://data.antwerp.be/id/term/aspace-collect/level,fonds
https://data.antwerp.be/id/term/aspace-collect/level/series,Series,,,https://data.antwerp.be/id/term/aspace-collect/level,series
https://data.antwerp.be/id/term/aspace-collect/level/subfonds,Subfonds,,,https://data.antwerp.be/id/term/aspace-collect/level,subfonds
https://data.antwerp.be/id/term/aspace-collect/level/collection,Collection,,,https://data.antwerp.be/id/term/aspace-collect/level,collection
https://data.antwerp.be/id/term/aspace-collect/level/file,File,,,https://data.antwerp.be/id/term/aspace-collect/level,file
https://data.antwerp.be/id/term/aspace-collect/language/dut,Nederlands,,,https://data.antwerp.be/id/term/aspace-collect/language,dut
https://data.antwerp.be/id/term/aspace-collect/language/fre,Frans,,,https://data.antwerp.be/id/term/aspace-collect/language,fre
https://data.antwerp.be/id/term/aspace-collect/language/ger,Duits,,,https://data.antwerp.be/id/term/aspace-collect/language,ger
https://data.antwerp.be/id/term/aspace-collect/language/ita,Italiaans,,,https://data.antwerp.be/id/term/aspace-collect/language,ita
https://data.antwerp.be/id/term/aspace-collect/language/eng,Engels,,,https://data.antwerp.be/id/term/aspace-collect/language,eng
https://data.antwerp.be/id/term/aspace-collect/language/lat,Latijn,,,https://data.antwerp.be/id/term/aspace-collect/language,lat
https://data.antwerp.be/id/term/aspace-collect/language/spa,Spaans,,,https://data.antwerp.be/id/term/aspace-collect/language,spa
https://data.antwerp.be/id/term/aspace-collect/language/mul,Meertalig,,,https://data.antwerp.be/id/term/aspace-collect/language,mul
https://data.antwerp.be/id/term/aspace-collect/language/pol,Pools,,,https://data.antwerp.be/id/term/aspace-collect/language,pol
https://data.antwerp.be/id/term/aspace-collect/language/por,Portugees,,,https://data.antwerp.be/id/term/aspace-collect/language,por
https://data.antwerp.be/id/term/aspace-collect/language/swe,Zweeds,,,https://data.antwerp.be/id/term/aspace-collect/language,swe
https://data.antwerp.be/id/term/aspace-collect/language/gre,Grieks,,,https://data.antwerp.be/id/term/aspace-collect/language,gre
https://data.antwerp.be/id/term/aspace-collect/language/rus,Russisch,,,https://data.antwerp.be/id/term/aspace-collect/language,rus
https://data.antwerp.be/id/term/aspace-collect/language/afr,Afrikaans,,,https://data.antwerp.be/id/term/aspace-collect/language,afr
https://data.antwerp.be/id/term/aspace-collect/language/gle,Iers,,,https://data.antwerp.be/id/term/aspace-collect/language,gle
https://data.antwerp.be/id/term/aspace-collect/language/hun,Hongaars,,,https://data.antwerp.be/id/term/aspace-collect/language,hun
https://data.antwerp.be/id/term/aspace-collect/language/jpn,Japans,,,https://data.antwerp.be/id/term/aspace-collect/language,jpn
https://data.antwerp.be/id/term/aspace-collect/language/nds,,,,https://data.antwerp.be/id/term/aspace-collect/language,nds
https://data.antwerp.be/id/term/aspace-collect/date-type/inclusive,Inclusief,,,https://data.antwerp.be/id/term/aspace-collect/date-type,inclusive
https://data.antwerp.be/id/term/aspace-collect/date-type/single,Enkel,,,https://data.antwerp.be/id/term/aspace-collect/date-type,single
https://data.antwerp.be/id/term/aspace-collect/extent-type/meter,Meter,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,meter
https://data.antwerp.be/id/term/aspace-collect/extent-type/stukken,Stukken,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,stukken
https://data.antwerp.be/id/term/aspace-collect/extent-type/omslagen,Omslagen,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,omslagen
https://data.antwerp.be/id/term/aspace-collect/extent-type/archiefdozen,Archiefdozen,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,archiefdozen
https://data.antwerp.be/id/term/aspace-collect/extent-type/pakken,Pakken,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,pakken
https://data.antwerp.be/id/term/aspace-collect/extent-type/banden,Banden,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,banden
https://data.antwerp.be/id/term/aspace-collect/extent-type/gigabytes,Gigabytes,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,gigabytes
https://data.antwerp.be/id/term/aspace-collect/extent-type/megabytes,Megabytes,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,megabytes
https://data.antwerp.be/id/term/aspace-collect/extent-type/niet-gespecifieerd,Niet-gespecifieerd,,,https://data.antwerp.be/id/term/aspace-collect/extent-type,niet-gespecifieerd
https://data.antwerp.be/id/term/aspace-collect/restrictions-apply/false,FALSE,,,https://data.antwerp.be/id/term/aspace-collect/restrictions-apply,false
https://data.antwerp.be/id/term/aspace-collect/role/creator,archiefvormer,,,https://data.antwerp.be/id/term/aspace-collect/role,creator
https://data.antwerp.be/id/term/aspace-collect/setspec/archives,archiefeenheid,,,https://data.antwerp.be/id/term/aspace-collect/setspec,archives
https://data.antwerp.be/id/term/aspace-collect/note-type/scopecontent,Inhoudsomschrijving,,,https://data.antwerp.be/id/term/aspace-collect/note-type,scopecontent
https://data.antwerp.be/id/term/aspace-collect/note-type/originalsloc,Originele locatie,,,https://data.antwerp.be/id/term/aspace-collect/note-type,originalsloc
https://data.antwerp.be/id/term/aspace-collect/note-type/accruals,Toegangen,,,https://data.antwerp.be/id/term/aspace-collect/note-type,accruals
https://data.antwerp.be/id/term/aspace-collect/note-type/processinfo,Verwerkingsinformatie,,,https://data.antwerp.be/id/term/aspace-collect/note-type,processinfo
https://data.antwerp.be/id/term/aspace-collect/note-type/relatedmaterial,Gerelateerd materiaal,,,https://data.antwerp.be/id/term/aspace-collect/note-type,relatedmaterial
https://data.antwerp.be/id/term/aspace-collect/note-type/acqinfo,Aankoopinformatie,,,https://data.antwerp.be/id/term/aspace-collect/note-type,acqinfo
https://data.antwerp.be/id/term/aspace-collect/note-type/custodhist,Beheergeschiedenis,,,https://data.antwerp.be/id/term/aspace-collect/note-type,custodhist
https://data.antwerp.be/id/term/aspace-collect/note-type/accessrestrict,Toegangsbeperkingen,,,https://data.antwerp.be/id/term/aspace-collect/note-type,accessrestrict
https://data.antwerp.be/id/term/aspace-collect/note-type/odd,Varia,,,https://data.antwerp.be/id/term/aspace-collect/note-type,odd
https://data.antwerp.be/id/term/aspace-collect/note-type/altformavail,Alternatieve vormen beschikbaar,,,https://data.antwerp.be/id/term/aspace-collect/note-type,altformavail
https://data.antwerp.be/id/term/aspace-collect/note-type/arrangement,Schikking,,,https://data.antwerp.be/id/term/aspace-collect/note-type,arrangement
https://data.antwerp.be/id/term/aspace-collect/note-type/userestrict,Gebruiksbeperkingen,,,https://data.antwerp.be/id/term/aspace-collect/note-type,userestrict
https://data.antwerp.be/id/term/aspace-collect/note-type/phystech,Fysieke technische gegevens,,,https://data.antwerp.be/id/term/aspace-collect/note-type,phystech
https://data.antwerp.be/id/term/aspace-collect/note-type/appraisal,Waardering,,,https://data.antwerp.be/id/term/aspace-collect/note-type,appraisal
https://data.antwerp.be/id/term/aspace-collect/note-type/otherfindaid,Andere hulpmiddelen,,,https://data.antwerp.be/id/term/aspace-collect/note-type,otherfindaid
https://data.antwerp.be/id/term/aspace-collect/note-type/physlo,Fysieke locatie,,,https://data.antwerp.be/id/term/aspace-collect/note-type,physlo
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,