concept,label,comment,identifier,inscheme
,voornaam,,,
,achternaam/familenaam,,,
,extensie/toevoeging,,,
,volledige naam,,,
,plaatskenmerk,,,
,convoluut,,,
,volume,,,
,associatietype,,,
,collectietype,,,
https://data.antwerp.be/id/def/ontology/NotPublic,not public,,,https://data.antwerp.be/id/def
https://data.antwerp.be/id/def/onderdelen,onderdeel,,http://vocab.getty.edu/aat/300241583,https://data.antwerp.be/id/def
https://data.antwerp.be/id/def/beschrijving,beschrijving,,http://vocab.getty.edu/aat/300411780,https://data.antwerp.be/id/def
,biografie,,http://vocab.getty.edu/aat/300435422,
,eigennaam,,,
,art galleries (buildings),,http://vocab.getty.edu/aat/300005232,
,credit statement,,http://vocab.getty.edu/aat/300026687,
,modification,,http://vocab.getty.edu/aat/300055457,
,height,,http://vocab.getty.edu/aat/300055644,
,width,,http://vocab.getty.edu/aat/300055647,
,style/movement,,http://vocab.getty.edu/aat/300056462,
,galleries (display spaces),,http://vocab.getty.edu/aat/300240057,
,part,,http://vocab.getty.edu/aat/300241583,
,department,,http://vocab.getty.edu/aat/300263534,
,non preferred terms,,http://vocab.getty.edu/aat/300264273,
,art museums (buildings),,http://vocab.getty.edu/aat/300264847,
,information,,http://vocab.getty.edu/aat/300311832,
,museum,,http://vocab.getty.edu/aat/300312281,
,accession number,,http://vocab.getty.edu/aat/300312355,
,nationality,,http://vocab.getty.edu/aat/300379842,
,languages and writing systems,,http://vocab.getty.edu/aat/300389739,
,creation,,http://vocab.getty.edu/aat/300404387,
,conservation,,http://vocab.getty.edu/aat/300404519,
,owner-assigned number,,http://vocab.getty.edu/aat/300404621,
,identification number,,http://vocab.getty.edu/aat/300404626,
,aliases,,http://vocab.getty.edu/aat/300404664,
,primary name/preferred terms,,http://vocab.getty.edu/aat/300404670,
,obsolete,,http://vocab.getty.edu/aat/300404908,
,brief text,,http://vocab.getty.edu/aat/300418049,
,position indicator,,http://vocab.getty.edu/aat/300430649,
,inscription description,,http://vocab.getty.edu/aat/300435414,
,description,,http://vocab.getty.edu/aat/300435416,
,citation,,http://vocab.getty.edu/aat/300435423,
,dimension statement,,http://vocab.getty.edu/aat/300435430,
,type of work,,http://vocab.getty.edu/aat/300435443,
,current location statement,,http://vocab.getty.edu/aat/300435449,
,page numbers,,http://vocab.getty.edu/aat/300445022,
,works of art,,http://vocab.getty.edu/aat/300133025,